pair,adf_p,beta,tr_sharpe,te_sharpe,te_total,te_trades,te_sharpe_maker
ARB/FIL,0.6080001648842552,1.0056366829048191,1.1317504360430641,0.3384319375365886,0.30826698494428434,20,0.4250433863218121
ARB/LINK,0.6888428950040416,0.29094809809759564,-0.35513436672647675,0.15927521154408553,0.13403631471177904,26,0.28165505562868093
ARB/LTC,0.819889107866018,1.3726092798306788,0.47276042692625303,-0.2837767349069459,-0.23815484932799055,17,-0.20208778989239873
ARB/MANA,0.4483691215186081,1.3070978118229408,0.5197139238625628,0.3830444939179261,0.3259052047069715,24,0.4938797942863442
ARB/MKR,0.8348259787492349,0.14504521492763958,-1.0804616444291824,0.18302820358477084,0.15299589513799527,18,0.26836463856890536
ARB/NEAR,0.633402209488564,-0.03675131460894671,-0.12099734152045596,0.21175564505047892,0.2182223265314383,23,0.3020238672650405
ARB/OP,0.7226017841943367,0.7696487360692961,0.2947498391619425,0.1652421196942722,0.09430635567471717,20,0.30327063002851173
ARB/SAND,0.1811358295446654,1.2150022688574669,0.4045506560677246,2.031536099931478,2.1833544857293927,21,2.100885748886952
ARB/SHIB,0.6076009636177812,-0.07765016658456443,0.12967794009227132,0.13012459060615408,0.1365522922628465,24,0.2209585464472222
ARB/SOL,0.6194131054072598,-0.06533531469192186,-0.08141817221232514,0.05715428344565006,0.060204848867801586,23,0.14594049655473937
ARB/SUI,0.7622343491106216,-0.09470499645724038,-0.41142276448201726,0.22917941806974648,0.2086252254687117,20,0.31828645927380844
ARB/UNI,0.7361479699865627,0.2453637578242398,-0.4588205626629615,-0.30919956657541303,-0.27813170736083204,24,-0.2017783586661542
ARB/XLM,0.9426598110136971,1.2600047164941794,0.04185418980489251,0.24916148995237278,0.24445158981609832,25,0.35065856981882815
ARB/XRP,0.6580066269904494,0.03542632183550604,-0.6538583959162396,0.147636219282588,0.13861652799742416,24,0.24905755705325236
ATOM/AVAX,0.3282736989718368,0.5411004932984441,-0.027188861977868174,0.6990856060751554,0.5568823949384909,34,0.867704779103839
ATOM/BCH,0.08157879256596207,0.41421464789991413,-0.18915559681313335,-0.18000315183268517,-0.2307137254856077,37,-0.06271376821276622
ATOM/BNB,0.2714480945999188,0.6764866237358443,0.027420899701454608,0.07597005900450815,0.10172157472910426,40,0.19456848868893398
ATOM/BTC,0.05352349610402156,0.956785125665904,-0.4357985933232025,-0.27587718039894416,-0.3370507341735231,35,-0.15897734744656483
ATOM/COMP,0.06322849412717389,0.3095990131337518,-0.03488569317601869,0.3954046943245937,0.48820624362417314,44,0.5354227536591342
ATOM/CRV,0.006184510780495496,0.6741571284287198,0.02466229385507488,0.3333246229362389,0.3445170933053408,35,0.4684264105511926
ATOM/DOGE,0.2534595373614852,0.4284586536728731,0.10302855448704362,0.7683097199591442,0.8856787789782407,42,0.9105119495193743
ATOM/DOT,0.15581690996589875,0.7503224196305543,0.3124463213596735,1.0676589021875613,0.7535451629071013,38,1.274721966110517
ATOM/ETC,0.36685531839006325,0.5270316945921779,-0.3925020337581314,0.7586262327350963,0.7839349450290976,43,0.9197801286744773
ATOM/ETH,0.15852382344889676,1.0745940731411492,-1.0586657455557849,-0.920842051159986,-1.187285930997084,36,-0.8047000915823367
ATOM/FET,0.08166185741521648,-0.003594082801884185,0.3962140090165327,0.28590142547461495,0.32969273603822924,29,0.38485474683951926
