sym,side,ts,k,v,fwd6,fwd12,fwd24,fwd48,fwd72
GIGGLE,1,2026-04-06 00:00:00+00:00,5.0,2.0,-257.47822794396023,-227.18667171526042,-965.5433547898529,-484.6648996592207,-219.61378265808463
GIGGLE,1,2026-05-04 12:00:00+00:00,5.0,2.0,-231.51605675877485,-759.2730893701782,-985.8103061986557,-1219.8157829225786,-1107.791884490914
GIGGLE,1,2026-06-07 01:00:00+00:00,5.0,2.0,-93.17803660565782,-33.27787021630613,-299.50083194675625,-392.67886855241295,-835.2745424292851
LINK,-1,2025-10-10 15:00:00+00:00,5.0,2.0,2145.432410919137,1703.4227653696676,1650.5127124596142,1031.980147024395,831.5774687456101
LINK,-1,2025-11-03 15:00:00+00:00,5.0,2.0,49.04525241956503,41.198012032435116,354.43369081872845,55.58461940884052,576.1182317551661
LINK,-1,2025-12-01 00:00:00+00:00,5.0,2.0,66.8950889215203,170.50089737314366,177.84304127916428,-1178.8219937999677,-2023.9843367596677
LINK,-1,2026-01-18 23:00:00+00:00,5.0,2.0,406.3511174655721,404.8461133268122,339.3784332906924,769.0571149070657,641.8842651817291
LINK,1,2025-08-28 13:00:00+00:00,5.0,2.0,-498.6256823196933,-605.4740428167704,-944.9885796136426,-1017.7693469087524,-848.9799078626447
LINK,1,2025-10-01 08:00:00+00:00,5.0,2.0,101.10128181982425,79.88806643798529,146.68712764037028,96.13648673045816,-146.68712764036806
LTC,-1,2025-10-10 20:00:00+00:00,5.0,2.0,1708.6627140974963,1921.1133069828722,2304.018445322793,1814.8880105401843,1751.4822134387352
LTC,-1,2025-12-12 15:00:00+00:00,5.0,2.0,-83.64083640836517,-119.3111931119306,-70.11070110701124,244.77244772447614,523.985239852397
LTC,-1,2026-01-15 15:00:00+00:00,5.0,2.0,1.3848497438018192,76.16673590915335,59.54853898351931,-332.363938512672,-368.37003185154595
LTC,1,2025-07-19 19:00:00+00:00,5.0,2.0,-75.41478129713397,572.2651051370775,381.51007009138647,230.68050749711634,380.6228373702436
LTC,1,2025-08-22 14:00:00+00:00,5.0,2.0,322.17467908381536,85.57764913163845,142.62941521939743,11.745951841597435,-631.7644097659203
LTC,1,2025-10-09 22:00:00+00:00,5.0,2.0,267.7725118483432,446.2875197472349,-2367.298578199052,-2632.701421800948,-2189.57345971564
NEAR,-1,2025-08-14 12:00:00+00:00,5.0,2.0,89.76660682226355,78.99461400359131,172.35188509874376,323.15978456014415,86.17594254937133
NEAR,-1,2025-10-10 20:00:00+00:00,5.0,2.0,1344.3565780014378,1013.6592379583032,1782.890007189073,1110.711718188354,506.82961897915214
NEAR,-1,2025-11-03 15:00:00+00:00,5.0,2.0,15.781167806417917,-115.72856391373065,226.19673855865275,-142.03051025775792,-199.89479221462324
NEAR,-1,2025-12-12 15:00:00+00:00,5.0,2.0,-136.90105787180994,-292.47044181704985,-336.0298693217168,-24.891101431239182,522.7131300560051
NEAR,-1,2026-01-31 17:00:00+00:00,5.0,2.0,-324.23208191126207,-196.24573378839605,-76.79180887372183,-435.1535836177489,392.4914675767921
NEAR,-1,2026-02-23 01:00:00+00:00,5.0,2.0,-215.38461538461507,-235.8974358974364,-61.53846153846176,-256.4102564102577,-1897.4358974358975
