sym,t,wk,fwd48,fwd24,abs,sgn,sa48,sa24
BTC,2026-04-05 23:00:00+00:00,0.03272571055641049,0.04187336686912779,-0.0026477915505449534,0.03272571055641049,1.0,418.7336686912779,-26.477915505449534
BTC,2026-04-12 23:00:00+00:00,-0.035503644617097097,0.047974544811737685,0.05192009899239869,0.035503644617097097,-1.0,-479.74544811737684,-519.2009899239869
BTC,2026-04-19 23:00:00+00:00,-0.04582149566081384,0.03427288418021246,0.027726896173959403,0.04582149566081384,-1.0,-342.7288418021246,-277.26896173959403
DOGE,2025-06-29 23:00:00+00:00,0.055593642879401495,-0.06924847983942395,-0.02467678139205398,0.055593642879401495,1.0,-692.4847983942395,-246.76781392053982
DOGE,2025-07-06 23:00:00+00:00,0.05759291164164404,-0.0061660171019719545,-0.023675178872666014,0.05759291164164404,1.0,-61.66017101971954,-236.75178872666015
DOGE,2025-07-13 23:00:00+00:00,-0.03722216830049496,0.0035784486669017124,-0.005594476084874733,0.03722216830049496,-1.0,-35.78448666901713,55.944760848747336
DOGE,2025-07-20 23:00:00+00:00,0.18261132466634988,-0.010661603622024396,-0.00952972104571348,0.18261132466634988,1.0,-106.61603622024396,-95.2972104571348
DOGE,2025-07-27 23:00:00+00:00,0.03511489801187717,-0.07064494680851063,-0.06083776595744672,0.03511489801187717,1.0,-706.4494680851063,-608.3776595744672
DOGE,2025-08-03 23:00:00+00:00,-0.034388832141641124,0.005487866277313458,0.059057496727419334,0.034388832141641124,-1.0,-54.87866277313458,-590.5749672741933
DOGE,2025-08-10 23:00:00+00:00,0.01927101499825601,0.008385385471036066,-0.05018396508941558,0.01927101499825601,1.0,83.85385471036066,-501.83965089415585
DOGE,2025-08-17 23:00:00+00:00,0.03464407078864906,-0.1068077119945402,-0.050887220610817296,0.03464407078864906,1.0,-1068.077119945402,-508.872206108173
DOGE,2025-08-24 23:00:00+00:00,-0.031226486079759086,-0.05795788020024162,-0.09571897117210426,0.031226486079759086,-1.0,579.5788020024162,957.1897117210426
DOGE,2025-08-31 23:00:00+00:00,0.014148703826797115,0.006089278186331981,-0.013864818024263537,0.014148703826797115,1.0,60.89278186331981,-138.64818024263536
DOGE,2025-09-07 23:00:00+00:00,0.039374374829499015,0.05156127000787203,0.05672177031400327,0.039374374829499015,1.0,515.6127000787203,567.2177031400328
DOGE,2025-09-14 23:00:00+00:00,0.021095960895292087,-0.028975595709452184,-0.03455474767835287,0.021095960895292087,1.0,-289.7559570945218,-345.5474767835287
DOGE,2025-09-21 23:00:00+00:00,-0.019011406844106515,-0.09060904939171821,-0.0746056721802203,0.019011406844106515,-1.0,906.0904939171821,746.0567218022029
DOGE,2025-09-28 23:00:00+00:00,0.029247125189846068,-0.018423271500843108,-0.010328836424957855,0.029247125189846068,1.0,-184.2327150084311,-103.28836424957855
DOGE,2025-10-05 23:00:00+00:00,-0.02751799253357956,-0.023428842805129024,0.05299192654741147,0.02751799253357956,-1.0,234.28842805129025,-529.9192654741147
DOGE,2025-10-12 23:00:00+00:00,-0.05270622683808379,-0.01333140124619614,0.032024344297927776,0.05270622683808379,-1.0,133.3140124619614,-320.24344297927775
DOGE,2025-10-19 23:00:00+00:00,0.05091496232508064,-0.0053782717820006765,0.023613174204784038,0.05091496232508064,1.0,-53.782717820006766,236.13174204784036
DOGE,2025-10-26 23:00:00+00:00,0.04135661857757511,-0.059352517985611475,-0.026297880614427394,0.04135661857757511,1.0,-593.5251798561147,-262.97880614427396
DOGE,2025-11-02 23:00:00+00:00,0.002259522272433756,-0.12916733773554512,-0.10168035647178819,0.002259522272433756,1.0,-1291.673377355451,-1016.803564717882
DOGE,2025-11-09 23:00:00+00:00,-0.005493285983797502,-0.04046210514566362,0.013729210849425133,0.005493285983797502,-1.0,404.62105145663617,-137.29210849425132
DOGE,2025-11-16 23:00:00+00:00,-0.0011972274732199306,0.019683300738123632,-0.04081761403066053,0.0011972274732199306,-1.0,-196.8330073812363,408.1761403066053
DOGE,2025-11-23 23:00:00+00:00,0.044606182892556134,0.05535233625509006,0.04734626268203468,0.044606182892556134,1.0,553.5233625509006,473.46262682034677
DOGE,2025-11-30 23:00:00+00:00,-0.03254457479949624,-0.0015074688228038369,-0.07208441825407685,0.03254457479949624,-1.0,15.074688228038369,720.8441825407685
DOGE,2025-12-07 23:00:00+00:00,0.002749041452651424,0.06687829160955205,0.028280787821946207,0.002749041452651424,1.0,668.7829160955206,282.80787821946205
