sym,mech,t,side,gross,net,net_feeonly,bars,why,tp_pct,sl_pct,truncated,slice,seen_sym
1000PEPE,F_pw_failed_breakout,2026-06-16 03:00:00+00:00,-1,0.04621949547573339,0.04365907880906672,0.04501949547573339,730,TP,4.6219495475733385,7.8720039493269764,False,OVERLAP_0601_0705,True
1000PEPE,F_pw_failed_breakout,2026-07-01 14:00:00+00:00,1,0.13357092880881585,0.1311573871421492,0.13237092880881585,589,TP,13.357092880881586,3.259548010103193,False,OVERLAP_0601_0705,True
1000PEPE,F_pw_failed_breakout,2026-07-15 16:00:00+00:00,-1,0.050798588054380964,0.04880275472104763,0.049598588054380964,188,TP,5.079858805438096,2.1415135644207215,False,OOS_0706_0803,True
1000PEPE,F_pw_failed_breakout,2026-07-26 15:00:00+00:00,-1,-0.060280592011233015,-0.06227434201123302,-0.061480592011233015,186,SL,3.639846743295019,6.028059201123302,False,OOS_0706_0803,True
1000PEPE,F_pw_failed_breakout,2026-07-27 08:00:00+00:00,-1,0.05384156050955421,0.051857185509554204,0.05264156050955421,177,TP,5.384156050955421,3.581301692262398,False,OOS_0706_0803,True
1000SHIB,C1_pw_tp0.5,2026-06-15 15:00:00+00:00,1,-0.01434882162508528,-0.016224863291751945,-0.01554882162508528,73,SL,4.597813354158524,1.434882162508528,False,OVERLAP_0601_0705,False
1000SHIB,C1_pw_tp0.5,2026-06-23 08:00:00+00:00,-1,0.0434016303150474,0.04119121364838073,0.0422016303150474,394,TP,4.340163031504741,2.740275829305922,False,OVERLAP_0601_0705,False
1000SHIB,C1_pw_tp0.5,2026-07-13 19:00:00+00:00,-1,-0.011800170016834843,-0.01372621168350151,-0.013000170016834843,121,SL,4.309298373391614,1.1800170016834843,False,OOS_0706_0803,False
1000SHIB,C2_pw_tp0.25,2026-06-15 15:00:00+00:00,1,-0.01434882162508528,-0.016224863291751945,-0.01554882162508528,73,SL,1.9962905115189362,1.434882162508528,False,OVERLAP_0601_0705,False
1000SHIB,C2_pw_tp0.25,2026-06-23 08:00:00+00:00,-1,0.012227362855254461,0.010424237855254462,0.011027362855254462,3,TP,1.2227362855254462,2.740275829305922,False,OVERLAP_0601_0705,False
1000SHIB,C2_pw_tp0.25,2026-07-13 19:00:00+00:00,-1,-0.011800170016834843,-0.01372621168350151,-0.013000170016834843,121,SL,1.9482884195193118,1.1800170016834843,False,OOS_0706_0803,False
1000SHIB,F_pw_failed_breakout,2026-06-15 20:00:00+00:00,-1,0.04729462875197458,0.044675878751974575,0.04609462875197458,786,TP,4.7294628751974574,2.9727593803757015,False,OVERLAP_0601_0705,False
1000SHIB,F_pw_failed_breakout,2026-07-13 20:00:00+00:00,1,-0.010047512896607791,-0.011867304563274457,-0.011247512896607791,19,SL,4.677302393038436,1.004751289660779,False,OOS_0706_0803,False
AAVE,C1_pw_tp0.5,2026-06-15 04:00:00+00:00,1,0.05326560232220591,0.05140310232220591,0.05206560232220591,60,TP,5.326560232220591,1.7894158640226105,False,OVERLAP_0601_0705,True
AAVE,C1_pw_tp0.5,2026-06-24 23:00:00+00:00,1,0.04914611005692606,0.047296110056926056,0.04794611005692606,48,TP,4.914611005692606,4.017209715800086,False,OVERLAP_0601_0705,True
AAVE,C1_pw_tp0.5,2026-07-06 17:00:00+00:00,1,-0.030671979549944103,-0.032577187883277445,-0.031871979549944106,101,SL,4.930091819699493,3.0671979549944104,False,OOS_0706_0803,True
AAVE,C2_pw_tp0.25,2026-06-15 04:00:00+00:00,1,0.022496371552975285,0.020656788219641953,0.021296371552975285,38,TP,2.2496371552975285,1.7894158640226105,False,OVERLAP_0601_0705,True
AAVE,C2_pw_tp0.25,2026-06-24 23:00:00+00:00,1,0.01729917773561046,0.015493969402277128,0.01609917773561046,5,TP,1.729917773561046,4.017209715800086,False,OVERLAP_0601_0705,True
AAVE,C2_pw_tp0.25,2026-07-06 17:00:00+00:00,1,-0.030671979549944103,-0.032577187883277445,-0.031871979549944106,101,SL,1.8129173622704478,3.0671979549944104,False,OOS_0706_0803,True
AAVE,F_pw_failed_breakout,2026-06-25 14:00:00+00:00,-1,-0.09377457721745514,-0.09561520221745515,-0.09497457721745514,39,SL,7.566916148674349,9.377457721745513,False,OVERLAP_0601_0705,True
AAVE,F_pw_failed_breakout,2026-07-06 23:00:00+00:00,-1,0.060983363356999,0.058846905023665665,0.059783363356999,323,TP,6.0983363356999,4.0887974117681605,False,OOS_0706_0803,True
ADA,C1_pw_tp0.5,2026-06-15 13:00:00+00:00,1,-0.03262002577889252,-0.03451690077889252,-0.03382002577889252,93,SL,5.024051309460193,3.262002577889252,False,OVERLAP_0601_0705,True
ADA,C1_pw_tp0.5,2026-06-23 08:00:00+00:00,-1,0.0979948253557566,0.09552086702242325,0.09679482535575659,647,TP,9.79948253557566,2.146827104568947,False,OVERLAP_0601_0705,True
ADA,C1_pw_tp0.5,2026-07-03 03:00:00+00:00,1,0.04675402025014904,0.04477797858348237,0.04555402025014904,169,TP,4.675402025014904,4.108216294710027,False,OVERLAP_0601_0705,True
ADA,C1_pw_tp0.5,2026-07-13 03:00:00+00:00,-1,-0.01572884936886293,-0.01795697436886293,-0.01692884936886293,411,SL,8.63579474342929,1.572884936886293,False,OOS_0706_0803,True
ADA,C1_pw_tp0.5,2026-07-20 22:00:00+00:00,1,0.03862028301886776,0.03672757468553443,0.03742028301886776,89,TP,3.862028301886776,1.3742768889662262,False,OOS_0706_0803,True
ADA,C1_pw_tp0.5,2026-08-02 06:00:00+00:00,1,0.031874662344678645,0.02998507901134531,0.030674662344678645,86,TP,3.1874662344678644,3.5878605417660503,False,OOS_0706_0803,True
ADA,C1_pw_tp0.5,2026-07-27 16:00:00+00:00,-1,-0.028228622058628996,-0.030404663725295662,-0.029428622058628996,361,SL,4.5627376425855415,2.8228622058628994,False,OOS_0706_0803,True
ADA,C2_pw_tp0.25,2026-06-15 13:00:00+00:00,1,-0.03262002577889252,-0.03451690077889252,-0.03382002577889252,93,SL,1.603420630678783,3.262002577889252,False,OVERLAP_0601_0705,True
ADA,C2_pw_tp0.25,2026-06-23 08:00:00+00:00,-1,0.043822768434669965,0.04169568510133663,0.042622768434669965,314,TP,4.382276843466997,2.146827104568947,False,OVERLAP_0601_0705,True
ADA,C2_pw_tp0.25,2026-07-03 03:00:00+00:00,1,0.009380583680762482,0.0074743336807624825,0.008180583680762483,102,TP,0.9380583680762482,4.108216294710027,False,OVERLAP_0601_0705,True
ADA,C2_pw_tp0.25,2026-07-13 03:00:00+00:00,-1,-0.01572884936886293,-0.01795697436886293,-0.01692884936886293,411,SL,4.005006257822289,1.572884936886293,False,OOS_0706_0803,True
ADA,C2_pw_tp0.25,2026-07-20 22:00:00+00:00,1,0.01813089622641506,0.016297562893081728,0.01693089622641506,32,TP,1.813089622641506,1.3742768889662262,False,OOS_0706_0803,True
ADA,C2_pw_tp0.25,2026-08-02 06:00:00+00:00,1,0.004592112371691073,0.002792112371691073,0.003392112371691073,0,TP,0.4592112371691073,3.5878605417660503,False,OOS_0706_0803,True
ADA,C2_pw_tp0.25,2026-07-27 16:00:00+00:00,-1,0.01362484157160954,0.011741508238276207,0.01242484157160954,80,TP,1.362484157160954,2.8228622058628994,False,OOS_0706_0803,True
ADA,F_pw_failed_breakout,2026-06-15 21:00:00+00:00,-1,0.053185595567867026,0.051031428901200354,0.05198559556786703,340,TP,5.318559556786703,5.940390248270188,False,OVERLAP_0601_0705,True
ADA,F_pw_failed_breakout,2026-07-14 13:00:00+00:00,1,-0.016039481801357135,-0.018739481801357136,-0.017239481801357134,864,TIME,8.328192473781625,4.607061375634356,False,OOS_0706_0803,True
ADA,F_pw_failed_breakout,2026-07-20 23:00:00+00:00,-1,-0.022112878442157487,-0.023973295108824153,-0.023312878442157486,58,SL,4.0508574807806,2.211287844215749,False,OOS_0706_0803,True
ADA,F_pw_failed_breakout,2026-07-28 23:00:00+00:00,1,0.061528899937849726,0.05923514993784972,0.06032889993784973,474,TP,6.152889993784973,5.187836276711697,False,OOS_0706_0803,True
ALLO,C1_pw_tp0.5,2026-06-22 14:00:00+00:00,1,-0.03767316444281923,-0.0396554561094859,-0.03887316444281923,175,SL,11.808118081180817,3.767316444281923,False,OVERLAP_0601_0705,True
ALLO,C1_pw_tp0.5,2026-06-27 11:00:00+00:00,-1,0.15124153498871332,0.1484946599887133,0.1500415349887133,909,TP,15.124153498871332,7.835660133243548,False,OVERLAP_0601_0705,True
ALLO,C1_pw_tp0.5,2026-06-29 09:00:00+00:00,-1,-0.04840819521100975,-0.05116236187767642,-0.04960819521100975,916,SL,28.370786516853926,4.8408195211009755,False,OVERLAP_0601_0705,True
ALLO,C1_pw_tp0.5,2026-07-06 18:00:00+00:00,1,-0.08914501117805565,-0.091500219511389,-0.09034501117805566,533,SL,13.713386589203576,8.914501117805566,False,OOS_0706_0803,True
ALLO,C1_pw_tp0.5,2026-07-13 19:00:00+00:00,1,0.014511102454226857,0.012711102454226858,0.013311102454226858,0,TP,1.4511102454226856,13.838758927461337,False,OOS_0706_0803,True
