trig_idx,entry_idx,dt,side,bar_dir,atr,range,ratio,gross,net,exit_reason,month,sym
4511,4512,2025-12-18 17:00:00,1,-1,0.005125154554424924,0.02090000000000003,4.077925802638579,0.0064209938581797,0.0051009938581797,time,2025-12,ADA
4579,4580,2025-12-21 13:00:00,1,-1,0.0030128683401411784,0.009799999999999975,3.252714321907861,0.02456042422550928,0.02324042422550928,time,2025-12,ADA
4590,4591,2025-12-22 00:00:00,-1,1,0.003613463075835406,0.009399999999999964,2.6013826079644535,-0.016607677647699413,-0.01792767764769941,time,2025-12,ADA
4677,4678,2025-12-25 15:00:00,-1,1,0.0027503182217801475,0.008799999999999975,3.1996297484093175,0.010921310557266759,0.009601310557266759,time,2025-12,ADA
4684,4685,2025-12-25 22:00:00,1,-1,0.003187107447778058,0.019199999999999995,6.024271322695937,0.026574234546504868,0.02525423454650487,time,2025-12,ADA
4688,4689,2025-12-26 02:00:00,-1,1,0.004282488437525748,0.012799999999999978,2.9889164178094805,0.01662908680947017,0.01530908680947017,time,2025-12,ADA
4730,4731,2025-12-27 20:00:00,-1,1,0.0022801353193771406,0.011799999999999977,5.175131449313875,-0.032614704256495236,-0.03393470425649524,time,2025-12,ADA
4752,4753,2025-12-28 18:00:00,1,-1,0.0027465861959060445,0.008400000000000019,3.0583420292873877,0.03713892709766166,0.03581892709766166,time,2025-12,ADA
4819,4820,2025-12-31 13:00:00,1,-1,0.0023551051987476574,0.005900000000000016,2.505195947568448,-0.0442020665901262,-0.045522066590126205,time,2025-12,ADA
4821,4822,2025-12-31 15:00:00,1,-1,0.002707718258103849,0.007500000000000007,2.7698598174139724,-0.027769657994738402,-0.0290896579947384,time,2025-12,ADA
